City,Latitude,Longitude,Crime_Type,Date,Time,Severity_Score,Weather_Condition,Patrol_Presence
Ajmer Road,26.9117,75.7437,Assault,11-02-2023,18:57,2,Cloudy,Yes
Dudu,26.7043,75.585,Theft,27-04-2023,0:30,4,Cloudy,No
Raja Park,26.8996,75.8277,Pickpocket,26-06-2023,11:15,1,Foggy,Yes
C-Scheme,26.9124,75.7873,Pickpocket,14-01-2023,6:32,1,Rainy,No
Viratnagar,27.3189,76.1833,Robbery,18-12-2023,3:17,7,Foggy,Yes
Amber,26.9948,75.8513,Burglary,26-02-2023,1:55,6,Stormy,Yes
Phagi,26.5873,75.6671,Burglary,08-06-2023,6:18,2,Clear,No
Phulera,26.8732,75.2433,Vandalism,10-06-2023,6:38,7,Rainy,No
Chomu,27.17,75.7221,Pickpocket,17-03-2023,4:7,1,Stormy,Yes
Vaishali Nagar,26.922,75.7411,Theft,14-03-2023,22:43,9,Foggy,No
Bassi,26.8394,76.0411,Assault,31-03-2023,4:11,9,Cloudy,No
Amber,26.9948,75.8513,Pickpocket,21-08-2023,17:54,3,Clear,Yes
Bapu Nagar,26.8926,75.812,Robbery,27-01-2023,6:55,2,Clear,No
Malviya Nagar,26.8526,75.818,Robbery,14-05-2023,8:22,3,Stormy,No
Jamwa Ramgarh,26.964,75.876,Pickpocket,16-12-2023,0:19,1,Cloudy,No
Raja Park,26.8996,75.8277,Burglary,19-04-2023,14:25,4,Stormy,Yes
Mansarovar,26.8648,75.759,Fraud,27-08-2023,17:17,8,Stormy,Yes
C-Scheme,26.9124,75.7873,Fraud,19-09-2023,23:55,3,Foggy,No
Chomu,27.17,75.7221,Vandalism,13-02-2023,5:5,9,Rainy,Yes
Jagatpura,26.8626,75.847,Assault,15-06-2023,18:54,5,Foggy,No
Phagi,26.5873,75.6671,Burglary,11-11-2023,22:48,6,Stormy,Yes
Raja Park,26.8996,75.8277,Murder,09-07-2023,10:24,8,Cloudy,No
Dudu,26.7043,75.585,Assault,21-02-2023,19:7,3,Clear,Yes
Viratnagar,27.3189,76.1833,Murder,06-01-2023,23:6,2,Stormy,Yes
Bapu Nagar,26.8926,75.812,Fraud,08-02-2023,5:58,5,Cloudy,No
Vaishali Nagar,26.922,75.7411,Burglary,03-04-2023,9:20,3,Cloudy,No
Sindhi Camp,26.9216,75.796,Burglary,01-03-2023,20:25,6,Rainy,Yes
Tonk Road,26.8537,75.805,Burglary,15-09-2023,14:17,7,Clear,No
Mauzmabad,26.5215,75.488,Robbery,04-05-2023,10:22,3,Cloudy,No
Amber,26.9948,75.8513,Fraud,08-05-2023,21:46,1,Cloudy,Yes
Chaksu,26.6052,75.9481,Assault,19-08-2023,12:52,4,Cloudy,No
Chomu,27.17,75.7221,Murder,26-08-2023,18:3,4,Foggy,Yes
Phulera,26.8732,75.2433,Pickpocket,29-12-2023,11:28,10,Rainy,No
Ajmer Road,26.9117,75.7437,Theft,04-10-2023,13:31,5,Cloudy,No
Chomu,27.17,75.7221,Assault,23-12-2023,21:25,5,Cloudy,No
Ajmer Road,26.9117,75.7437,Theft,09-10-2023,23:50,1,Clear,No
Phulera,26.8732,75.2433,Robbery,23-07-2023,15:29,1,Clear,No
Kishangarh-Renwal,26.7536,75.565,Theft,23-07-2023,7:24,9,Rainy,No
Dudu,26.7043,75.585,Murder,20-03-2023,16:55,10,Cloudy,Yes
Sambhar,26.9131,75.1914,Assault,11-07-2023,15:14,2,Cloudy,Yes
Bassi,26.8394,76.0411,Theft,05-02-2023,21:32,4,Foggy,Yes
Jamwa Ramgarh,26.964,75.876,Assault,24-11-2023,17:34,7,Foggy,No
Bapu Nagar,26.8926,75.812,Murder,19-04-2023,5:13,8,Foggy,Yes
Jagatpura,26.8626,75.847,Robbery,23-06-2023,2:26,8,Clear,Yes
Sanganer,26.8191,75.8028,Theft,06-12-2023,6:40,5,Cloudy,Yes
Mauzamabad,26.5215,75.488,Theft,03-07-2023,5:19,10,Clear,Yes
Kotputli,27.7025,76.1996,Burglary,13-02-2023,9:41,8,Rainy,No
Ajmer Road,26.9117,75.7437,Assault,27-06-2023,20:1,4,Clear,No
Sindhi Camp,26.9216,75.796,Murder,22-07-2023,18:45,5,Clear,No
Viratnagar,27.3189,76.1833,Pickpocket,11-10-2023,21:33,6,Stormy,Yes
Tonk Road,26.8537,75.805,Vandalism,23-07-2023,11:32,3,Foggy,No
Bassi,26.8394,76.0411,Pickpocket,29-10-2023,10:35,4,Stormy,No
Phagi,26.5873,75.6671,Vandalism,04-05-2023,7:18,2,Stormy,Yes
Amber,26.9948,75.8513,Murder,05-12-2023,8:41,3,Clear,Yes
Shahpura,27.3913,75.9595,Burglary,03-10-2023,8:21,7,Stormy,No
Paota,27.3763,76.0405,Robbery,05-07-2023,12:31,1,Rainy,No
Mansarovar,26.8648,75.759,Vandalism,31-05-2023,14:34,2,Stormy,Yes
Jamwa Ramgarh,26.964,75.876,Theft,09-02-2023,20:22,3,Clear,No
Viratnagar,27.3189,76.1833,Burglary,10-05-2023,21:28,7,Rainy,Yes
Shahpura,27.3913,75.9595,Murder,07-01-2023,2:35,6,Stormy,No
Shahpura,27.3913,75.9595,Murder,17-09-2023,19:33,8,Foggy,Yes
Mauzamabad,26.5215,75.488,Burglary,14-04-2023,7:23,6,Foggy,Yes
Mauzamabad,26.5215,75.488,Burglary,29-08-2023,10:2,8,Clear,No
Ajmer Road,26.9117,75.7437,Pickpocket,06-06-2023,1:56,6,Cloudy,No
Vaishali Nagar,26.922,75.7411,Murder,15-01-2023,0:0,1,Clear,Yes
Mansarovar,26.8648,75.759,Burglary,24-01-2023,4:39,5,Clear,Yes
Vaishali Nagar,26.922,75.7411,Fraud,04-01-2023,11:33,2,Cloudy,Yes
Jaipur,26.9124,75.7873,Fraud,21-05-2023,18:41,7,Rainy,Yes
Shahpura,27.3913,75.9595,Theft,21-09-2023,10:37,10,Rainy,No
Sindhi Camp,26.9216,75.796,Assault,17-09-2023,4:19,9,Clear,No
Chomu,27.17,75.7221,Theft,13-06-2023,23:38,6,Stormy,No
Gopalpura,26.8815,75.789,Vandalism,18-03-2023,22:36,7,Rainy,No
Kot Khawada,26.7972,75.67,Assault,02-06-2023,22:6,3,Stormy,No
Raja Park,26.8996,75.8277,Fraud,16-10-2023,14:38,9,Rainy,Yes
Mansarovar,26.8648,75.759,Murder,23-05-2023,5:53,9,Cloudy,Yes
Chomu,27.17,75.7221,Assault,02-03-2023,10:12,7,Foggy,Yes
Jamwa Ramgarh,26.964,75.876,Vandalism,30-08-2023,20:6,6,Rainy,Yes
Mauzmabad,26.5215,75.488,Murder,16-12-2023,11:28,8,Foggy,No
Mansarovar,26.8648,75.759,Assault,15-07-2023,17:14,5,Rainy,Yes
Jamwa Ramgarh,26.964,75.876,Pickpocket,31-08-2023,20:43,6,Foggy,Yes
Phagi,26.5873,75.6671,Vandalism,21-03-2023,20:38,2,Foggy,No
Kotputli,27.7025,76.1996,Vandalism,29-08-2023,4:9,10,Clear,Yes
Shahpura,27.3913,75.9595,Murder,13-02-2023,7:36,9,Foggy,Yes
Phulera,26.8732,75.2433,Robbery,14-12-2023,21:19,9,Cloudy,No
Vaishali Nagar,26.922,75.7411,Fraud,20-06-2023,12:57,5,Clear,Yes
Jamwa Ramgarh,26.964,75.876,Robbery,07-12-2023,14:35,2,Cloudy,No
Paota,27.3763,76.0405,Theft,23-08-2023,3:48,4,Rainy,Yes
Mauzmabad,26.5215,75.488,Robbery,04-02-2023,10:47,1,Foggy,Yes
Jagatpura,26.8626,75.847,Theft,06-03-2023,3:54,4,Clear,No
Bapu Nagar,26.8926,75.812,Vandalism,29-11-2023,11:17,6,Foggy,Yes
Sambhar,26.9131,75.1914,Theft,25-08-2023,10:35,4,Foggy,No
Chaksu,26.6052,75.9481,Fraud,30-12-2023,12:44,1,Rainy,Yes
Kishangarh-Renwal,26.7536,75.565,Pickpocket,13-02-2023,0:39,4,Rainy,Yes
Sindhi Camp,26.9216,75.796,Murder,02-09-2023,13:2,8,Stormy,No
Mauzamabad,26.5215,75.488,Vandalism,21-10-2023,8:37,10,Cloudy,Yes
Kotputli,27.7025,76.1996,Burglary,17-02-2023,7:51,4,Stormy,No
Gopalpura,26.8815,75.789,Assault,11-08-2023,21:33,9,Clear,No
Raja Park,26.8996,75.8277,Vandalism,10-08-2023,22:33,5,Cloudy,Yes
Shahpura,27.3913,75.9595,Theft,22-02-2023,12:40,3,Clear,No
Paota,27.3763,76.0405,Pickpocket,27-11-2023,17:35,5,Rainy,Yes
Bapu Nagar,26.8926,75.812,Murder,15-10-2023,20:10,4,Foggy,No
Jaipur,26.9124,75.7873,Assault,30-12-2023,3:30,1,Cloudy,No
Sambhar,26.9131,75.1914,Assault,19-04-2023,0:27,6,Rainy,No
Mauzamabad,26.5215,75.488,Burglary,03-06-2023,21:24,4,Foggy,No
C-Scheme,26.9124,75.7873,Assault,08-01-2023,12:10,1,Rainy,No
Sindhi Camp,26.9216,75.796,Fraud,30-05-2023,21:25,8,Cloudy,No
Kishangarh-Renwal,26.7536,75.565,Assault,24-12-2023,4:23,4,Foggy,Yes
Paota,27.3763,76.0405,Burglary,29-06-2023,13:14,2,Rainy,Yes
Gopalpura,26.8815,75.789,Theft,02-08-2023,15:35,10,Cloudy,No
Chaksu,26.6052,75.9481,Assault,04-09-2023,14:8,5,Clear,Yes
Shahpura,27.3913,75.9595,Vandalism,04-10-2023,17:4,2,Rainy,Yes
Bassi,26.8394,76.0411,Fraud,18-02-2023,20:7,9,Cloudy,No
Phulera,26.8732,75.2433,Pickpocket,16-08-2023,13:4,1,Stormy,No
Bassi,26.8394,76.0411,Robbery,26-06-2023,14:19,2,Cloudy,Yes
Kishangarh-Renwal,26.7536,75.565,Fraud,21-04-2023,23:6,6,Rainy,Yes
Ajmer Road,26.9117,75.7437,Burglary,15-09-2023,12:26,9,Cloudy,No
Jaipur,26.9124,75.7873,Assault,05-04-2023,9:26,6,Foggy,Yes
Phagi,26.5873,75.6671,Vandalism,08-09-2023,11:4,1,Stormy,No
Kotputli,27.7025,76.1996,Murder,22-05-2023,19:27,1,Rainy,No
Viratnagar,27.3189,76.1833,Assault,15-05-2023,23:46,7,Clear,No
Chaksu,26.6052,75.9481,Murder,18-12-2023,12:59,8,Stormy,No
Gopalpura,26.8815,75.789,Vandalism,22-09-2023,1:5,4,Stormy,No
Vaishali Nagar,26.922,75.7411,Assault,10-12-2023,13:44,3,Rainy,Yes
Jamwa Ramgarh,26.964,75.876,Fraud,13-04-2023,2:19,3,Cloudy,Yes
Kishangarh-Renwal,26.7536,75.565,Assault,19-09-2023,1:50,9,Stormy,Yes
Dudu,26.7043,75.585,Murder,09-07-2023,21:59,10,Clear,Yes
Gopalpura,26.8815,75.789,Theft,29-12-2023,23:15,1,Stormy,Yes
Mansarovar,26.8648,75.759,Assault,17-09-2023,13:13,2,Cloudy,Yes
Tonk Road,26.8537,75.805,Theft,30-11-2023,20:55,9,Foggy,No
Sambhar,26.9131,75.1914,Theft,08-03-2023,11:15,5,Stormy,Yes
Sanganer,26.8191,75.8028,Theft,30-01-2023,12:23,5,Rainy,Yes
Mansarovar,26.8648,75.759,Burglary,30-04-2023,1:19,5,Clear,No
Kotputli,27.7025,76.1996,Murder,17-12-2023,23:32,9,Foggy,No
Mansarovar,26.8648,75.759,Assault,21-09-2023,0:52,7,Cloudy,No
Bassi,26.8394,76.0411,Burglary,04-03-2023,23:39,2,Clear,No
Amber,26.9948,75.8513,Assault,07-09-2023,15:39,3,Clear,No
Sanganer,26.8191,75.8028,Burglary,10-04-2023,21:42,9,Foggy,Yes
Kishangarh-Renwal,26.7536,75.565,Theft,20-09-2023,10:49,1,Rainy,No
Bapu Nagar,26.8926,75.812,Pickpocket,21-04-2023,21:22,5,Clear,No
Sanganer,26.8191,75.8028,Burglary,18-01-2023,15:7,8,Cloudy,Yes
Vaishali Nagar,26.922,75.7411,Robbery,22-05-2023,10:53,1,Cloudy,Yes
Chaksu,26.6052,75.9481,Pickpocket,26-10-2023,0:40,8,Stormy,Yes
Viratnagar,27.3189,76.1833,Assault,27-06-2023,3:10,7,Stormy,No
Kotputli,27.7025,76.1996,Robbery,21-07-2023,12:39,8,Cloudy,No
Ajmer Road,26.9117,75.7437,Fraud,13-11-2023,20:28,5,Rainy,No
Paota,27.3763,76.0405,Theft,22-01-2023,1:50,4,Clear,No
Malviya Nagar,26.8526,75.818,Robbery,21-03-2023,4:22,1,Stormy,No
Tonk Road,26.8537,75.805,Robbery,01-05-2023,15:50,7,Stormy,No
Kot Khawada,26.7972,75.67,Robbery,17-11-2023,16:6,1,Foggy,No
Viratnagar,27.3189,76.1833,Theft,18-10-2023,19:40,8,Rainy,Yes
Dudu,26.7043,75.585,Assault,26-07-2023,9:32,10,Cloudy,Yes
Ajmer Road,26.9117,75.7437,Assault,15-06-2023,15:50,1,Stormy,No
C-Scheme,26.9124,75.7873,Theft,26-03-2023,20:30,6,Stormy,No
Malviya Nagar,26.8526,75.818,Murder,26-02-2023,20:56,4,Cloudy,No
Shahpura,27.3913,75.9595,Assault,14-05-2023,0:49,10,Stormy,Yes
Gopalpura,26.8815,75.789,Pickpocket,15-09-2023,6:32,2,Cloudy,No
Malviya Nagar,26.8526,75.818,Murder,18-04-2023,13:55,2,Clear,Yes
Mansarovar,26.8648,75.759,Fraud,18-03-2023,4:48,6,Cloudy,Yes
Jamwa Ramgarh,26.964,75.876,Robbery,09-07-2023,16:32,5,Clear,No
Kot Khawada,26.7972,75.67,Pickpocket,29-11-2023,20:49,6,Clear,No
Jaipur,26.9124,75.7873,Fraud,30-12-2023,10:54,10,Rainy,Yes
Mansarovar,26.8648,75.759,Assault,24-07-2023,23:51,8,Clear,Yes
Kotputli,27.7025,76.1996,Theft,17-02-2023,1:55,2,Cloudy,No
Jaipur,26.9124,75.7873,Assault,30-06-2023,17:58,2,Cloudy,Yes
Sambhar,26.9131,75.1914,Burglary,10-04-2023,7:47,2,Foggy,Yes
Kotputli,27.7025,76.1996,Vandalism,03-11-2023,1:6,8,Clear,No
Kotputli,27.7025,76.1996,Burglary,30-11-2023,23:13,1,Cloudy,No
Mauzmabad,26.5215,75.488,Robbery,23-10-2023,23:36,8,Clear,No
Kotputli,27.7025,76.1996,Robbery,10-08-2023,18:14,10,Cloudy,No
Kotputli,27.7025,76.1996,Theft,22-04-2023,4:4,2,Rainy,Yes
Dudu,26.7043,75.585,Vandalism,25-05-2023,9:24,7,Stormy,No
Chomu,27.17,75.7221,Vandalism,31-01-2023,17:55,4,Stormy,Yes
Dudu,26.7043,75.585,Theft,29-08-2023,15:1,6,Foggy,Yes
Kotputli,27.7025,76.1996,Pickpocket,20-09-2023,20:42,1,Cloudy,Yes
Malviya Nagar,26.8526,75.818,Assault,11-02-2023,0:4,3,Stormy,No
Tonk Road,26.8537,75.805,Murder,14-11-2023,1:17,1,Clear,Yes
Gopalpura,26.8815,75.789,Pickpocket,14-11-2023,11:27,2,Clear,Yes
Chaksu,26.6052,75.9481,Murder,27-09-2023,14:59,10,Foggy,Yes
Vaishali Nagar,26.922,75.7411,Murder,19-05-2023,8:47,1,Cloudy,No
